"Name","Address","Favorite Color"
"George Patterson","Airline pilot","90"
"Scott Jones","Stage manager","22"
"Elizabeth Morales","Dancer","21"
"Maria Lewis","Environmental education officer","77"
"Kristen Torres","International aid/development worker","7"
"Brian Harris","Technical sales engineer","33"
"Jessica Davis","Estate manager/land agent","2"
"Lawrence Barnett","Chief Marketing Officer","47"
"Michael Turner","Optician, dispensing","50"
"Benjamin Reid","Firefighter","16"
"Kimberly Washington","Accommodation manager","13"
"James Grant","Investment banker, operational","83"
"John Bennett","Financial planner","23"
"Gabriela Le","Museum/gallery conservator","29"
"John Reed","Chief Executive Officer","11"
"William Mahoney","Tax adviser","47"
"Laurie Mckenzie","Higher education careers adviser","86"
"David Parker","Chemical engineer","48"
"Samantha Jackson","Environmental education officer","78"
"Susan Estrada","Investment banker, corporate","61"
"Charles Lopez","Advertising art director","38"
"Rachel Willis","Fast food restaurant manager","8"
"Misty Chen","Air cabin crew","25"
"Barbara Blackwell","Psychotherapist, dance movement","3"
"Paul Smith","Buyer, industrial","47"
"Trevor Myers","Electrical engineer","63"
"Emily Shepard","Public relations officer","58"
"Sheila Smith","Private music teacher","47"
"Virginia Jimenez","Agricultural consultant","98"
"Mrs. Kristina Bradley","Materials engineer","86"
"Cory Brown","Commissioning editor","77"
"Jennifer Harvey","Scientist, clinical (histocompatibility and immunogenetics)","27"
"Linda Carter","Environmental consultant","4"
"Amanda Lopez","Surveyor, hydrographic","99"
"Selena Smith","Naval architect","74"
"Loretta Williams","Lobbyist","63"
"Katherine Gonzalez","Clothing/textile technologist","12"
"Robert Rivera","Logistics and distribution manager","34"
"Adam Clarke","Insurance risk surveyor","92"
"Shawn Elliott","Environmental health practitioner","15"
"Regina Lee","Editor, commissioning","99"
"Lynn Whitaker","Press sub","94"
"Megan Jackson","Research officer, government","34"
"Christina Carr","Higher education careers adviser","25"
"Dana Yates","Bonds trader","59"
"John Gross","Buyer, retail","87"
"Rachel Walker","Production assistant, television","2"
"Alex King","Science writer","15"
"Jessica Blackburn","Engineer, maintenance","44"
"Mary Anderson","Research scientist (physical sciences)","87"
