"Name","Address","Favorite Color"
"Dennis Jackson","Investment analyst","0"
"Alexis Cruz","Psychologist, forensic","46"
"Rebecca Williams","Librarian, academic","61"
"Carla Esparza","Dispensing optician","79"
"Chad James","Theatre director","27"
"Jordan Duncan","Product designer","44"
"Andrew Curtis","Fisheries officer","19"
"Jason Thompson","Psychotherapist","17"
"Charles Cross","IT trainer","4"
"Robert Young","Quality manager","30"
"Haley Morrison","Administrator, charities/voluntary organisations","35"
"Leslie Patrick","Minerals surveyor","6"
